"sub"	"oe"	"covid_vax_attitude"
833	"I try to focus on the risk versus the benefit. If the benefit was high and the risk was low, I was eager to consider the vaccination. Also, I knew that certain vaccines have a higher benefit rate, so I wouldn't waste my time on the ones that aren't as beneficial, even if they do provide some benefit. I would want to get the best possible vaccination."	"Neutral"
834	"I looked at what side effects people were getting and also looked at the the rate it would help me."	"Neutral"
835	"I followed CDC guidelines"	"Pro"
836	"I looked at overall effectiveness, but really without 99% effective with minimal side effects, proven, I wouldn't be interested."	"Anti"
837	"null"	"Neutral"
838	"null"	"Pro"
839	"I am against any strong side effects. I also have no interest in a vaccine with under about 85 percent effective rate."	"Neutral"
840	"I looked up how they made each vaccine."	"Neutral"
841	"The problem is because of the politicalizing of the vaccine while the numbers presented were interesting I do not trust any of the governmental or commercial sources of the data presented. Rather than saying the data was gathered from flyers etc. you should ask the participants to assume the data is factual\/100% accurate. Based on my study of the published scientific data and available reported statistics the effectiveness numbers presented in this study are over inflated while the data presented on the risks is under reported."	"Anti"
842	"I made my decision on how bad the side effects were and how many people it effected. It was okay in my opinion if there were bad side effects as long as the risk for me getting them were low. If the chances of getting the Covid-19 was very low than I thought one was a good option to get."	"Neutral"
843	"I liked the idea of more than half the people having a positive outcome... being more than half were protected, more than half had lesser effects or more than half not having severe effects."	"Neutral"
844	"No I was upset to find out that there were blood clots as a side effect given the fact that I have sickle cell trait and generally need to watch out for blood clots I also had issues with my heart and there are some conditions where information would be bad for me even cause death."	"Neutral"
845	"n\/a"	"Neutral"
846	"null"	"Anti"
847	"I honestly did a lot of research before I got vaccinated. I truly did not want to get a vaccine but I felt forced to do it since I wasn't able to travel without a vaccine cards. The vaccine also became a requirement at work. However, my decision on which vaccine I received was based on feedback and stories I heard from family members and their personal experiences. I am unare of any long-term side effects"	"Anti"
848	"I am very concerned about the side effects.  I have had COVID and feel that it is not that serious for me personally.  I would rather not risk the more serious side effects."	"Neutral"
849	"Moderna appears to be the safest, most viable vaccine against COVID19. For this reason, I was more unwilling to pursue other vaccines. This search behavior was related to opportunity cost."	"Pro"
850	"Higher rates on the benefits and lower numbers on the negatives."	"Anti"
851	"no"	"Anti"
852	"How severe the side effects were."	"Neutral"
853	"Assessing various side effect risks vs benefits"	"Neutral"
854	"I mainly considered the possible side effects and manufacturer of the vaccine.  I'd rather avoid any side effects that can lead to major health problems.  In terms of manufacturer, I'd generally put my trust in companies that I've heard from the news and is made in the country I live in."	"Neutral"
855	"No"	"Neutral"
856	"I cared mostly about the risks of severe side effects, and I also cared about the type of technology used.  I would describe myself as fearing of serious and long-term side effects and unknowns."	"Neutral"
857	"There were no specific reason. I just like to use the vaccines that are being administered in U.S.A and were proven to be effective."	"Pro"
